attraction_key,display_name,robust_count,robust_towns,flow_heavy_top3,income_heavy_top3
maritime_aquarium_norwalk,Maritime Aquarium,13,"Darien, Easton, Fairfield, Greenwich, Monroe, New Canaan, Norwalk, Redding, Ridgefield, Trumbull, Weston, Westport, Wilton","Darien, Easton, Fairfield","Darien, Easton, Fairfield"
florence_griswold,Florence Griswold Museum,12,"Clinton, Durham, East Haddam, East Lyme, Essex, Guilford, Haddam, Killingworth, Madison, Old Lyme, Old Saybrook, Waterford","Clinton, Deep River, Durham","Clinton, Colchester, Durham"
nbmaa,New Britain Museum,11,"Avon, Berlin, Burlington, Cheshire, Cromwell, Farmington, Glastonbury, Newington, Southington, West Hartford, Wethersfield","Avon, Berlin, Bristol","Avon, Berlin, Burlington"
nathan_hale_homestead,Nathan Hale Homestead,11,"Andover, Bolton, Columbia, Coventry, Ellington, Glastonbury, Hebron, Marlborough, South Windsor, Tolland, West Hartford","Andover, Bolton, Columbia","Andover, Bolton, Colchester"
ct_science_center,CT Science Center,10,"Avon, Berlin, Farmington, Glastonbury, Rocky Hill, Simsbury, South Windsor, West Hartford, Wethersfield, Windsor","Avon, Berlin, Bloomfield","Avon, Berlin, Bolton"
mark_twain_house,Mark Twain House,10,"Avon, Berlin, Farmington, Glastonbury, Rocky Hill, Simsbury, South Windsor, West Hartford, Wethersfield, Windsor","Avon, Berlin, Bloomfield","Avon, Berlin, Bolton"
wadsworth_atheneum,Wadsworth Atheneum,10,"Avon, Berlin, Farmington, Glastonbury, Rocky Hill, Simsbury, South Windsor, West Hartford, Wethersfield, Windsor","Avon, Berlin, Bloomfield","Avon, Berlin, Bolton"
pequot_museum,Pequot Museum,10,"Cheshire, Durham, East Lyme, Guilford, Ledyard, Montville, Preston, South Windsor, Stonington, Waterford","Cheshire, Durham, East Lyme","Cheshire, Colchester, Durham"
mystic_aquarium,Mystic Aquarium,9,"Durham, East Lyme, Glastonbury, Guilford, Ledyard, Madison, South Windsor, Stonington, Waterford","Cheshire, Durham, East Lyme","Colchester, Durham, East Lyme"
kent_falls,Kent Falls State Park,6,"Avon, Burlington, Fairfield, New Milford, Trumbull, Wilton","Avon, Burlington, Fairfield","Avon, Brookfield, Burlington"
