Rank,CT Science Center,Mark Twain House,Wadsworth Atheneum,New Britain Museum,Mystic Aquarium,Pequot Museum,Florence Griswold Museum,Nathan Hale Homestead,Maritime Aquarium,Kent Falls State Park
1,West Hartford,West Hartford,West Hartford,Berlin,Stonington,Ledyard,Old Lyme,Coventry,Norwalk,Warren
2,Glastonbury,Glastonbury,Glastonbury,West Hartford,Ledyard,Stonington,Old Saybrook,Tolland,Darien,New Milford
3,South Windsor,South Windsor,South Windsor,Avon,Waterford,Preston,Essex,Andover,Westport,Goshen
4,Wethersfield,Avon,Wethersfield,Newington,East Lyme,Montville,Madison,Hebron,Wilton,Trumbull
5,Avon,Simsbury,Avon,Farmington,Groton,Waterford,East Lyme,Bolton,New Canaan,Burlington
6,Simsbury,Farmington,Simsbury,Glastonbury,Glastonbury,East Lyme,Clinton,South Windsor,Weston,Avon
7,Farmington,Wethersfield,Farmington,Burlington,Guilford,Guilford,Guilford,Glastonbury,Fairfield,Fairfield
8,Rocky Hill,Rocky Hill,Rocky Hill,Southington,Montville,South Windsor,Killingworth,Columbia,Greenwich,Wilton
9,Windsor,Berlin,Berlin,Cromwell,Durham,Hebron,Haddam,Marlborough,Easton,Simsbury
10,Berlin,Windsor,Windsor,Cheshire,South Windsor,Groton,East Haddam,Ellington,Ridgefield,Glastonbury
11,Burlington,Burlington,Burlington,Simsbury,Madison,Durham,Waterford,West Hartford,Redding,Newtown
12,Bolton,Bloomfield,East Granby,Wethersfield,Cheshire,Cheshire,Durham,Manchester,Trumbull,South Windsor
13,East Granby,East Granby,Bolton,Portland,Tolland,West Hartford,Westbrook,Colchester,Monroe,Westport
14,Newington,Newington,Newington,New Britain,Hebron,Glastonbury,Colchester,Somers,Newtown,New Canaan
15,Cromwell,Southington,Cromwell,South Windsor,Preston,Colchester,Deep River,East Hampton,Orange,Brookfield
